	paper_id	class_label
2435	1133846	Neural_Networks
2441	1119295	Case_Based
2465	1102625	Theory
2492	28964	Probabilistic_Methods
2495	753070	Theory
2509	33325	Theory
2512	594119	Genetic_Algorithms
2530	50838	Case_Based
2539	238099	Rule_Learning
2544	28267	Theory
2546	1117920	Probabilistic_Methods
2558	202520	Probabilistic_Methods
2570	2702	Neural_Networks
2571	1129572	Neural_Networks
2572	1112194	Neural_Networks
2578	561568	Probabilistic_Methods
2579	733534	Neural_Networks
2606	1140543	Neural_Networks
2608	1117219	Neural_Networks
2611	523010	Neural_Networks
2615	14545	Neural_Networks
2627	350373	Theory
2629	628668	Reinforcement_Learning
2640	252725	Rule_Learning
2641	593544	Genetic_Algorithms
2656	103528	Case_Based
2663	397590	Rule_Learning
2679	561613	Probabilistic_Methods
2681	1104258	Neural_Networks
2682	1152991	Probabilistic_Methods
2689	134060	Reinforcement_Learning
2690	102884	Theory
2698	626531	Probabilistic_Methods
